"molecule_SMILES","UniProt_ID","affinity_score"
"CCC1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C","P05129",65.2
"C1=CC2=C(C=CC(=C2)/C=C\3/C(=O)N=C(S3)NCC4=CC=CS4)N=C1","P51812",66.5
"CC(C)COC1=NC=CN2C1=NC(=C2C3=NC(=NC=C3)NCC(C)(C)CO)C4=CC=C(C=C4)F","P51955",63.4
"C1=CC2=C(C=CN=C2C=C1C(F)(F)F)NC(=O)NC3=NC=C(C=C3)C#N","P24941",62.7
"C1=CC=C2C(=C1)C(=CN2)CC(COC3=CN=CC(=C3)C=CC4=CC=NC=C4)O","O75116",66.5
"C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)NC=C3C4=C(C=CC5=C4SC=N5)NC3=O","P45984",73.9
"CC(C1=CC(=CC=C1)OC)NC(=O)N2CCC(=CC2)C3=CNC4=C3C=CC=N4","O60674",67.1
"CN(C)CC1CCN2C=C(C3=CC=CC=C32)C4=C(C5=CN(CCO1)C6=CC=CC=C65)C(=O)NC4=O","Q96GD4",64.6
"C[C@]12[C@H]([C@H](C[C@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)N(C)C(=O)OC(C)(C)C)OC","P17612",59.3
"CC1=CC(=CC(=C1)NC(=O)NC2=CC=C(C=C2)NC(=O)C3=CSC4=NC=NC(=C34)N)C","O14757",62.7
"C1CN(CC2=C1NC3=C(C=C(C=C23)Cl)Cl)C(=O)NC4=CC=C(C=C4)[N+](=O)[O-]","Q13464",64.6
"CC1=C(C=CC(=C1)NC(=O)C2=CC(=CC=C2)C(F)(F)F)OC3=C(C=CC=N3)C4=NC(=NC=C4)NC","P35968",65.1
"C1=CC=C(C=C1)CC(CO)NC(=O)C2=C(C=C(C=C2)C3=CC=NC=C3)F","P45984",64.6
"CCN(CC)CCOC1=CC=C(C=C1)NC2=NC=C3C=C(C(=O)N(C3=N2)C)C4=C(C=CC=C4Cl)Cl","P48729",64.6
"CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCCN","P08069",66.5
"C1=CC=C(C=C1)N2C(=C3C=CC(=CC3=N2)N)C(=O)O","P48729",65.8
"C1CNCCC1N2C=NC(=C2C3=NC(=NC=C3)N)C4=CC=C(C=C4)F","P05129",63.4
"C1=CC(=CC=C1NC2=NC=C(O2)C3=CNC(=O)C=C3)S(=O)(=O)N","P06239",62.1
"C1CNCC1OC2=CN=CC(=C2)C=CC3=CC=NC=C3","Q7L7X3",62.1
"COC1=CC2=NC=CC(=C2C=C1)NC(=O)NC3=NC=CC(=C3)C(F)(F)F","O96013",64
"CC1=NOC(=C1)C2=CN=C(N=C2NC3CCC(CC3)N(C)C)NC4=CC(=CC(=C4)Cl)Cl","O14757",67.5
"CC1=C2C(=C(C=C1)C3=CC=C(C=C3)NC(=O)NC4=CC(=CC=C4)Br)C(=NN2)N","P28482",62.7
"C1C2=C(C=CC=C2C(=O)N1)C3=CC=C(C=C3)NC4=NC5=CC=CC=C5O4","P31749",62.7
"COC1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=CN(N=C5)CC(CO)O)N","Q00535",65.2
"C1=CC(=NC(=C1)NC(=O)NC2=C3C=C(C=CC3=NC=C2)Cl)C(F)(F)F","O60674",65.8
"C1=CC=C2C(=C1)C(=CN2)CC(COC3=CN=CC(=C3)C4=CC(=C(C=C4)N)C(=O)C5=CC(=CC=C5)Cl)N","Q12851",63.4
"CC1=CC(=CC(=C1)NC(=O)NC2=CC=C(C=C2)C3=C(SC4=NC=NC(=C34)N)C)C","P49840",62.7
"CC1=C(C=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=NC=NC(=C34)N)C","Q13131",70.8
"CC(C)(CNC1=NC=CC(=N1)C2=C(N=C3N2C=CN=C3NC)C4=CC=C(C=C4)F)CO","P41743",64
"C1CC(CCC1NC2=NC(=CC(=N2)Cl)C3=CNC4=C3C=CC=N4)O","P49840",75.8
"C1=CC(=CC=C1C2=C(NC(=N2)C3=CC=C(C=C3)F)C4=CC=NC=C4)F","O94806",68.3
"CN1C=C(C2=C1C=CC(=C2)OC)C3=CC4=NC=CN=C4N3","Q13627",66.5
"CC1=C(C=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=NC=NC(=C34)N)C","O95819",68.3
"C1CCC(CC1)NC2=NC(=CC(=N2)Cl)C3=CNC4=C3C=CC=N4","P45983",65.2
"CC(C(C)(C)C)NC1=C(C(=O)C1=O)NC2=NC(=NC=C2)NC3=CC(=C(C=C3)OC)OC","Q05513",62.7
"CC(C1=CC(=CC=C1)OC)NC(=O)C2=CN=C(S2)C3=CC=NC=C3","P06239",65.8
"CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F","P28482",62.8
"C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=CC3=C(C=C2)N=CC=C3","P36888",58
"C1=CC(=NC(=C1)NC(=O)NC2=C3C=C(C(=CC3=NC=C2)F)F)C(F)(F)F","P45984",66.5
"CC1=C(C=CC(=C1)NC(=O)CC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N)F","O95819",63.4
"CC(C)CC1=C2C=CNC2=NC(=N1)NC3=CC(=C(C=C3)N4CCOCC4)Cl","Q13464",67.7
"CC1=CC(=O)NN=C1C2=CC=C(C=C2)NC(=O)NC3=CC(=CC=C3)Cl","P08581",69.6
"CC1=CC2=NN=C(N2C3=CC=CC=C13)SCC4=CN5C=CC=CC5=N4","P08581",65.2
"CN1CCN(CC1)C2CCC(CC2)N3C=C(C4=C3N=CN=C4N)C5=CC=C(C=C5)OC6=CC=CC=C6","Q05513",62.7
"CCCCN1C2=C(C=C(C=C2)N(C)C(=O)C3CCCCC3)N=C1NC(=O)C4=CC=CC(=C4)C#N","P35968",62.7
"C=CCC1=CC=CC2=C1OC(=CC2=NO)C3=CC=CC=C3","Q9HAZ1",78.3
"CN1CCC(CC1)NC(=O)C2=CN=C(N=C2NC3CCCC3)NCC4=C(C=CC(=C4)Cl)Cl","P06213",60.4
"CC(C)C1=NN=C2N1N=C(C=C2)C3=C(N=C4N3C=CO4)C5=C(C=C(C=C5)F)F","O94806",68.3
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C#CCNC)N","P45983",64
"CC(C)OC1=C(C(=O)NN1)/C=C/2\C=NC3=CC=CC=C32","O60674",67.1
"C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3","P11309",63.4
"CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC(=CC=C3)[N+](=O)[O-]","P00519",73.3
"C1=CC(=CC(=C1)F)NC(=O)NC2=CC=C(C=C2)C3=CC4=C(C=C3)C=NN4","P06239",64.6
"CN(C)CC(=O)NC(CC1=CNC2=CC=CC=C21)COC3=CN=CC(=C3)C4=CC5=C(C=C4)C=NC=C5","O60674",67.1
"CC1=C2C(=C(C=C1)C3=CC=C(C=C3)NC(=O)NC4=CC(=CC=C4)Br)C(=NN2)N","O94806",65.2
"CN1CCN(CC1)C2=CC(=C(C=C2)OC(F)(F)F)NC3=NC=CC(=N3)C4=CC5=C(N4C)CCNC5=O","O96013",62.1
"CNC(=O)C=CC1=CN=C(C2=C1SC=C2C3=CC4=C(C=C3)OCO4)N","P04629",67.7
"CCOC1=CC=CC=C1C=NNC(=O)C2=C(N(N=N2)C3=NON=C3N)N4CCCC4","O43293",67.7
"CC1=NC2=C(C(=O)O1)SC3=C(C=CC(=C23)Cl)Br","P49840",66.5
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4)N","P06493",62.7
"CCCC(=O)NC1=NNC2=NN=C(C=C21)C3=C(C(=CC=C3)F)F","Q7L7X3",66.5
"CC1=CC(=C(C=C1)F)NC(=O)NC2=CC=C(C=C2)C3=NSC4=NC=NC(=C34)N","O96013",64
"CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=NNC4=C3C=C(C=C4)CC5=CC(=CC(=C5)F)F)NC6CCOCC6","P12931",77.6
"CC1=NC2=C(S1)C=CC(=C2)C3=CSC4=C3C(=NC=C4C=CC(=O)NC)N","P00519",76.4
"C[C@H](/C=C\C(F)(F)F)OC1=C(C=CC(=C1)C2=C(N=CC(=C2)C3=CC(=CS3)CN(C)C)N)C(=O)N","P49841",75.5
"C1COCCN1CCOC2=CC3=C(CC4=C3NN=C4C5=CN=C(C=C5)C#N)C=C2","P49841",63.4
"CCN(CC)CCCNC(=O)C1=CN=C(C2=C1SC=C2C3=CC=C(C=C3)NC(=O)NC4=CC=CC(=C4)C)N","Q96GD4",84.5
"CNC1=NC=CC(=N1)C2=C(N=CC=C2)OC3=CC=C(C=C3)NC4=NN=C(C5=CC=CC=C54)C6=CC=C(C=C6)F","P00533",59.6
"C1=CN=C2C(=CC(=CC2=C1NC(=O)NC3=NC=CN=C3)F)F","P07333",65.8
"C1=CC2=CN=C(C=C2C=C1Br)NC3=NC=NC=C3","P04629",65.2
"CCOC1=C(C(=CC(=N1)C(=O)NCC2=CC=CC=C2S(=O)(=O)N)N)Cl","P49840",62.7
"C1=CC=C(C=C1)C(CCO)NC(=O)C2=CC=C(C=C2)C3=CC=NC=C3","Q16620",64.6
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=C4C=NNC4=CC=C3","P06213",64
"CCCCC#CC1=CC=C(C=C1)CN2CC(C2)C(=O)O","Q16620",64.6
"C1=CC(=CC(=C1)C(F)(F)F)CNC2=C(C(=O)C2=O)NC3=CC=NC=C3","P45983",65.2
"C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)C(F)(F)F)OC3=NC=NC4=C3C=NN4","P08069",62.1
"CC(C)S(=O)(=O)N1C2=C(C=CC(=C2)C3=C(N=C4N3C=CS4)C5=CC=C(C=C5)F)N=C1N","P45983",73.9
"CCCCNC(=O)C1=CN(C(=O)C2=CC(=C(C=C21)OC)OC)C(CC)CC","O43293",64
"CCNC1=NC2=CC(=C(C=C2N=C1NCC)Cl)OC","P06213",64
"C1=CC=C(C=C1)C(CCO)NC(=O)C2=CC=C(C=C2)C3=CC=NC=C3","P36888",65.2
"C1=CC=C(C=C1)CNC2=NC=NC(=C2)C3=CNC4=C3C=CC=N4","P35968",71.4
"CC(C)NC1=C(N=C2N1C=CC=N2)C3=CC4=C(C=C3)NN=C4","P06241",68.9
"COC1=CC=CC(=C1)C=C2C(=O)N=C(S2)NC3=CC=CC=C3","P48729",63.4
"COC1=C2C(=C(C=C1)C3=CC=C(C=C3)NC(=O)NC4=CC(=CC(=C4)F)F)C(=NO2)N","P49841",63.4
"COC1=CC=C(C=C1)C2=NNC3=C2C(=O)C4=CC=CC=C43","P00519",50.6
"CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N","P00533",66.5
"C1CCC(CC1)NC2=NC(=O)C=C(N2)C3=CC=NC=C3","Q13627",77
"CC1=C(C2=C(N1C3CC(C3)CN4CCCC4)N=CN=C2N)C5=CC(=CC=C5)OCC6=CC=CC=C6","Q16620",64
"C1=CC=C(C=C1)COCC(COC2=CN=CC(=C2)C=CC3=CC=NC=C3)N","Q13627",68.9
"COC1=C(C=CC(=C1)C2=CC3=C(C=C2)C(=O)NC4=C(N3)C=CC(=C4)CC(=O)NC5=CC=C(C=C5)N6CCOCC6)N","O14757",81.7
"CCC1=C2C=CNC2=NC(=N1)NC3=CC(=C(C=C3)N4CCOCC4)Cl","O14757",66.5
"CC\1=C(C2=NC3=CC=CC=C3N2C(=O)/C1=C/C4=C(NN(C4=O)C5=CC=CC=C5)C)C#N","P35968",62.7
"CN1CCC(CC1)C(=O)N2C3=C(C=C(C=C3)C4=CN(N=N4)CC5=CC=CC=C5)C(=N2)N","P06493",62.7
"C1=CC=C(C=C1)CN2C=C(N=N2)C3=CC4=C(C=C3)NN=C4NC(=O)C5=C(C=CC(=C5)F)F","P08581",65.8
"C1=CC=C(C=C1)C2=C(C(=O)N(N2)C3=CC=CC=C3)NNC4=CC=CC5=C4C(=O)N=NC5=O","P06213",64
"C1=C(C=C(C2=C1[N+](=C(S2)C(=O)N)[O-])[N+](=O)[O-])C(F)(F)F","P06493",55.9
"CC1=C2C(C3=C(CC(CC3=O)(C)C)N=C2NN1)C4=CC=CC=C4F","P49841",78.9
"C1=CC2=C(C=CN=C2C=C1C(F)(F)F)NC(=O)NC3=NC=CN=C3","Q96GD4",66.5
"CN1CCN(CC1)C2=CC=C(C=C2)C(=O)NC3=NNC4=C3CN(C4)C(=O)C(C5=CC=CC=C5)OC","P49840",65.2
"C1CNC2=C(C(=NC=N2)N)N=C1C3=CC=CC=C3","Q13627",65.2
"CN(C)C1=CC=C(C=C1)C2=CC(=NC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N)C4=CC=C(C=C4)[N+](=O)[O-]","P08581",72
"COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC","P08581",65.8
"C1=CC(=C(C=C1F)F)C2=CN=CC3=C2C=C(S3)C(=O)N","Q05655",70.2
"CC1=CC2=C(C=C1)NC3=CC=CC=C3C(=O)N2","P48729",63.4
"C1C2COCC2CN1C3=CC4=C(C=CN=C4C=C3)NC(=O)NC5=NC=CN=C5","P35968",66.5
"CC(C)(C1=CN(N=N1)C2=CC3=C(C=C2)NN=C3)O","P04629",56.5
"COCCNC1=NC=CC(=N1)C2=C(N=C3N2C=CN=C3)C4=CC=C(C=C4)F","Q05513",62.7
"COC1=CC(=CC(=C1OC)OC)NC2=NC=CC(=N2)NC3=CC(=NO3)C4CCCCC4","Q05655",62.7
"C1CCOC2=CC(=C(C=C2NC(=O)NC3=CN=C(C(=N3)OCC1)C#N)Cl)OCCO","Q05655",62.7
"CCS(=O)(=O)C1=CC=C(C=C1)C2=CN=CC3=C2C=C(S3)C(=O)N","P07333",65.8
"C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)NC=C3C4=C(C=CC5=C4SC=N5)NC3=O","O96013",72.7
"CC(C)N(C(C)C)C(=O)NC1=CC2=C(C=C1)N=C(C(=N2)C3=CC=CO3)C4=CC=CO4","P24941",65.2
"C1=CC=C(C=C1)C2=C3C=C(SC3=NN2)C(=O)NCC4=CC=C(C=C4)Cl","P49840",62.7
"CCOC(=O)C1=C(N(C2=C1C=C(C3=CC=CC=C32)O)C4=CC=C(C=C4)I)C","Q13627",68.3
"C1=CC=C(C=C1)C2=CNC3=NC=C(C=C23)Br","P11362",64
"CC(=C(C)C1=CC=CC2=C1NC(=C2CCCOC3=C(C(=CC=C3)Cl)Cl)C(=O)O)C","Q13464",62.1
"C1CC(CNC1)C2=CC(=C(C=C2)C3=NC4=C(N3)C=C(C=C4C(=O)N)Cl)F","P36888",68.3
"CCN1CCN(CC1)C2=CC=C(C=C2)NC3=CC(=NC=N3)N(C)C(=O)NC4=C(C(=CC(=C4Cl)OC)OC)Cl","P12931",63.7
"CC1=CC=C(C=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=CN(N=C5)C(C)C(=O)NC)N","P11362",78.9
"CC(=O)NC1=C(SC2=C1C(=C(C=C2)Cl)Cl)C(=O)N","P28482",62.7
"CN(C)C1=C(C=C2C=NSC2=C1)NC(=O)C(=O)O","P06241",68.9
"CCOC1=C(C(=CC(=N1)C(=O)NCC2=CC=NC=C2)N)C#N","P52333",67.1
"CC(C)N1C2=C(C=CC(=C2)C3=C(N=C4N3C=CO4)C5=C(C=C(C=C5)F)F)N=N1","P06241",68.9
"C1=CC2=C(C(=C1)Cl)NC=NC2=O","P49841",60.2
"C1CCC(CC1)NC2=CC(=NC(=N2)C3=CNC4=C3C=CC=N4)Cl","P05129",70.2
"CC(C1=CC=CC=C1F)NC2=NC(=CN=C2)N3C=NC4=C3C=C(C=C4)C#N","P51812",67.7
"C1=CC=C(C=C1)C(C2=CC=CC=C2)(C(=O)NNC(=S)NC3=CC=C(C=C3)F)O","Q16620",64
"C1CCN(CC1)CC2=NOC(=C2)C3=CC4=C(C=C3)NN=C4","P05129",62.7
"C1CCOC2=C(C=C(C(=C2)CCCO)Cl)NC(=O)NC3=CN=C(C(=N3)OCC1)C#N","P17612",62.4
"CC(COC1=CN=C(C(=C1)C=CC2=CC=NC=C2)Cl)N","P06241",68.9
"CCC1C(=O)N(C2=CN=C(N=C2N1C3CCCC3)NC4=C(C=C(C=C4)C(=O)NC5CCN(CC5)C)OC)C","P07333",65.8
"C1=CC=C2C(=C1)C(=CN2)CC(COC3=CN=CC(=C3)C=CC4=CC=NC=C4)O","P52333",67.1
"CCCCNC1=NC(=C(S1)C(=O)C2=CC=CC=C2)N","O60674",65.8
"C1=CC=C(C(=C1)C(=O)O)NC2=NC(=NC=C2)NC3=CC4=C(C=C3)C=NN4","O75116",73.3
"COC1=CC2=C(C=C1)NC(=O)C2=CC3=CN=CN3","P49841",73.3
"C1=CC=C2C(=C1)C(=O)N(C2=O)C3=CC(=C(C=C3)C(=O)O)O","Q05655",62.7
"COC1=NC=CC(=N1)C2=C(N=CN2C3CCNCC3)C4=CC=C(C=C4)F","P05129",62.7
"C1CN(CC2=C(C=CC=C21)C(=O)NC3=NC4=CC=CC=C4S3)C5=NC(=C(S5)C6=CC=C(C=C6)CO)C(=O)O","P04629",68.3
"CN(C)CCCN1C2=CC=CC=C2C(=C1C3=CC4=CC=CC=C4S3)C5=CC(=O)NC5=O","O94806",74.5
"C1CNC(=O)C2=C1NC(=C2)C3=CC(=NC=C3)C=CC4=CC=CC=C4","P12931",65.2
"COC(=O)C1=C(N=C2N1C=CC=C2)N","Q13464",58.4
"C1CNC(=O)C2=C1NC(=C2)C3=CC(=NC=C3)C4=CC5=CC=CC=C5N=C4","O60674",67.1
"CC1=CC(=C(C=C1Cl)NC(=O)NC2=NC=C(N=C2)C#N)OCC3CCC(C3)C(=O)O","P52333",67.1
"COC1=CC=C(C=C1)CNC2=C(C(=O)C2=O)NC3=CC4=C(C=C3)NN=C4","O14757",62.7
"CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CNC5=CC=CC=C54)N","O95819",76.4
"C1=CC=C(C=C1)CNC2=NC(=CC(=C2)C3=CNC4=C3C=CC=N4)Cl","Q13464",78.3
"C1CC1C2=C(N=NN2CC3=CC=CC=C3)C4=CC5=C(C=C4)NN=C5","P12931",66.5
"C1=CC=C2C(=C1)N=C(S2)NC(=O)CC3=CC=CS3","P49840",64.6
"C1=CC=C2C(=C1)C=C(S2)C3=C4C(=CC(=C3)C5=CN(C6=CN=C(N=C65)N)CCN)C=NN4","P35968",63
"COC1=C(C(=CC=C1)OC)CNC2=NC(=NC3=C2C=C(C=C3)Cl)NC4CCCCC4","P11362",67.1
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=CSC4=C3C(=NC=C4C5=CNN=C5)N","P11309",62.1
"C1=C(N2C(=NN=C2N)C=N1)Cl","P00519",59.6
"C1CNC(=O)C2=C1NC(=C2)C3=CC(=NC=C3)C4=CC=CC=C4F","P17948",70.8
"C1=CC(=CC(=C1)C(F)(F)F)CNC2=C(C(=O)C2=O)NC3=CC=NC=C3","P31749",66.5
"CCOC1=CC=CC=C1C=NNC(=O)C2=C(N(N=N2)C3=NON=C3N)N4CCCC4","P49841",77
"C1=CC=C(C=C1)C(CO)NC(=O)C2=CC=C(C=C2)C3=CC=NC=C3","P06493",64
"CC1=C2C(=O)C3=C(C=C(C=C3)C(C)C)NC2=NC=C1","O96013",66.5
"CCN(CC)CCCNC(=O)C1=CN=C(C2=C1SC=C2C3=CC=C(C=C3)NC(=O)NC4=CC(=CC=C4)F)N","P06239",77
"C1=CN=CC=C1C2=NC3=C4C=CSC4=NC(=O)N3N2","P00519",69.6
"CS(=O)(=O)NC1=CC=C(C=C1)C2=CC3=C(C=C2)NN=C3N","O14965",67.1
"CCCCOC1=NC=NC2=C1C(=CN2)C3=CC=CC=C3","Q13464",70.2
"CCOCC(C)OC1=CC=CC2=C1C(=NN2)N","Q00535",67.1
"CN1C2=NC(=NC=C2C=C(C1=O)OC3=C(C=C(C=C3)F)F)NC4CCOCC4","P49760",62.7
"C1COCCN1CCN2C=NC(=C2C3=CC4=C(C=C3)NN=C4)C5=CC=C(C=C5)F","P51955",62.1
"CC1=CC(=C2C(=C1)N=C(O2)NC3=CC=C(C=C3)C4=NN(C5=C4C(=NC=N5)N)C6CCC(CC6)OCCOC)C","O95819",64.6
"CN(C)C1CCC(CC1)NC2=NC(=CC(=N2)Cl)C3=CNC4=C3C=CC=N4","Q13627",77
"C1C2=C(C3=CC=CC=C3NC1=O)NC4=C2C=C(C=C4)Br","Q05513",62.7
"CN1C[C@@H]2C[C@H]1CN2C3=CC=C(C=C3)C4=CC=NC5=C(C(=NN45)C6=CC=NC=C6)C7=CC(=CC=C7)O","P12931",69.4
"CCN(CCN)C(=O)C1=CC(=CC=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=CC4=CC=CC=C43","P04629",67.1
"CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C","O14965",70.2
"CC(=O)NCC(=O)N1C2CCC1C3=C2C=CC(=C3)NC4=NC=C(C(=N4)NC5CCC5)C(F)(F)F","P06213",78.3
"CCN1C2=CC(=C(C=C2C(=O)C3=C1NOC3=O)O)Cl","P06241",68.9
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=C4CNC(=O)C4=CC=C3","O60674",67.1
"C1COCCN1C2=NC3=C(C(=N2)NC4=CC=C(C=C4)S(=O)(=O)N)NC=N3","P17948",62.1
"C1=CC=C(C=C1)CNC(=O)NC2=NC=C(S2)[N+](=O)[O-]","O94806",62.1
"C1=CC=C2C(=C1)C(=CN2)CC(COC3=CN=CC(=C3)C4=CC5=C(C=C4)NC(=O)C5=CC6=CC=CO6)N","P36888",77.6
"C1=CC=C(C=C1)CN2C=C(N=N2)C3=CC4=C(C=C3)NN=C4NC(=O)C5=CC=CC=C5","P52333",75.2
"COC1=CC2=NC=CC(=C2C=C1)NC(=O)NC3=CC=CC(=N3)C(F)(F)F","O14757",62.7
"C1CC1CNC2=NC=CC(=N2)C3=C(N=C4N3C=CN=C4)C5=CC=C(C=C5)F","P11309",62.1
"CC(C)OC1=C(C(=CC(=N1)NC(=O)CC2=CC(=C(C=C2OC)S(=O)(=O)C)OC)N)C#N","Q13464",62.2
"CN1C2=C(C(=CN=C2)C3=CC=C(C=C3)NC(=O)NC4=CC=CC(=C4)C(F)(F)F)C(=N1)N","P11309",62.1
"C1COC[C@H]1N2C3=C(C(=N2)C4=CC(=C(C=C4)F)O)C(=NC=N3)N","P35968",70.8
"C1=CC(=C2C(=C1)NC(=N2)C3=CC=NC=C3)C(=O)N","P51812",63.4
"C1=CC(=C(C(=C1C2=CN=CC3=C2C=C(S3)C(=O)N)F)F)Br","P49840",78.3
"C1=CC=C(C=C1)NC2=NC(=CS2)C3=CC4=C(C=C3)NN=C4","P08581",66.5
"COC1=CN=CC(=C1)C=CC2=CC=NC=C2","Q12851",63.4
"CNS(=O)(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=CC(=C(C(=C3)OC)OC)OC","O75116",78.3
"C1=CC(=C2C(=C1Cl)C3=C(S2)C(=O)N=CN3)Cl","Q16620",64
"CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CC(=CC=C4)Cl)N","O43293",75.2
"CC(C1=CC=CC=C1)NC(=O)C2=CC=C(C=C2)C3=CC=NC=C3","P49841",73.3
"C1=CC=C(C=C1)CC(COC2=CN=CC(=C2)C=CC3=CC=NC=C3)N","P12931",66.5
"CC(C)(CNC1=NC=CC(=N1)C2=C(N=C3N2C=CN=C3CCN)C4=CC=C(C=C4)F)CO","P00519",69.6
"C1=CC=C(C=C1)C(CCO)NC(=O)C2=CC=C(C=C2)C3=CC=NC=C3","P51812",64.6
"CC(C(C)(C)C)NC1=C(C(=O)C1=O)NC2=CC=NC=C2","Q05513",68.3
"C1=CC=C2C(=C1)C(=CN2)CC(COC3=CN=CC(=C3)C4=CC5=C(C=C4)NC(=O)O5)N","Q13131",65.2
"CC1=CC=CC=C1C2=C(N=NN2CC3=CC=CC=C3)C4=CC5=C(C=C4)NN=C5N","P08069",65.8
"C1CCC(CC1)CNC(=O)C2=CC3=C(NN=C3S2)C4=CC=CC=C4","P49760",63.4
"C1=CC=C2C(=C1)NC(=N2)SC3=CC=C(O3)C=NNC(=O)C4=CC(=CC=C4)[N+](=O)[O-]","Q00535",62.1
"C1=CC(=CC(=C1)F)C2=CN=CC3=C2C=C(S3)C(=O)N","P49841",78.9
"CS(=O)(=O)NCCOC1=CN=CC(=C1)C2=CC3=C(C=C2)C=NC=C3","P08069",66.5
"CCC1=NC=CN2C1=NC(=C2C3=NC(=NC=C3)NCC(C)(C)O)C4=C(C=C(C=C4)F)F","P49840",62.7
"CC(C)(CNC1=NC(=CC(=C1)C2=CNC3=C2C=CC=N3)Cl)CNS(=O)(=O)C","P36888",72
"C1=CC=C(C=C1)CNC2=NC(=CS2)C3=CC4=C(C=C3)NN=C4","P11362",64
"COC1=C(C=CC(=C1)C=C2C(=O)N=C(S2)NC3=CC=CC=C3)O","Q7L7X3",62.1
"CC1=CC(=CC=C1)NC(=O)CC2=CC=C(C=C2)C3=C4C(=CC=C3)NN=C4N","P51955",62.1
"CCN1C2=CC(=C(C=C2C(=O)C3=C1NOC3=O)O)Cl","P05129",62.6
"C1=CC(=CC=C1C2=CSC3=C2C(=NC=C3C4=CC=NC=C4)N)NC(=O)NC5=C(C=CC(=C5)C(F)(F)F)F","P08581",71.4
"CC1=C(C2=C(N=CN=C2S1)N)C3=CC=C(C=C3)NC(=O)NC4=C(C=CC(=C4)C(F)(F)F)F","P06239",64.3
"C1=CC=C(C=C1)CN2C(=C(N=N2)C3=CC4=C(C=C3)NN=C4N)I","P52333",71.4
"C1CC(CNC1)C2=CC(=C(C=C2)C3=NC4=C(C=CC=C4N3)C(=O)N)F","O95819",69.6
"CC(C(C)(C)C)NC1=C(C(=O)C1=O)N(C2=CC=NC=C2)C(=O)C","P11362",64
"CCCCNC1=C2C=CC=C3C2=C(C=C1)C(=O)N(C3=O)CCNCCO","P11309",62.1
"C1C2=C(C=CC(=C2)C3=CC(=CN=C3)OCC(CC4=CNC5=CC=CC=C54)N)NC1=O","P51812",80.7
"C1=CC=C(C=C1)C2=CN3C(=C(C=NC3=O)I)N2","Q05655",62.7
"CC1=CC(=CC=C1)NC(=O)NC2=CC=C(C=C2)C3=C4CNC(=O)C4=CC=C3","P06239",67.1
"COCC#CC1=C2CC3=C(NN=C3C2=CC=C1)C4=CC=CS4","P45983",66.5
"C1=CC=C(C=C1)NC2=C3C(=CSC3=NC=N2)Cl","Q13464",62.1
"COC1=C(C=C(C=C1)C=C2C(=O)N=C(S2)NC3=CC=CC=C3)O","Q12851",67.7
"CC(C)C1=NN=C2N1C=C(C=C2)C3=C(N=CO3)C4=CC(=C(C=C4F)F)F","P28482",62.1
"CS(=O)(=O)NC1=C(C=C2C(=C1)OCCCCCOC3=NC(=CN=C3C#N)NC(=O)N2)Cl","P45984",63.4
"CC(C)(CN)CNC1=NC(=CC(=C1)C2=CNC3=C2C=CC=N3)F","P17612",77
"C1=CC=C2C(=C1)C(=CN2)CC(COC3=CN=CC(=C3)C=CC4=CC=NC=C4)O","P08069",66.5
